VERSION,CPUs,PARAMETER,INSTANCE_VALUE
18.0.0,197,_gcs_min_cr_slaves,1
18.0.0,197,_hang_resolution_scope,-2
18.0.0,197,_ksmsq_hintmaxproc,15800
18.0.0,197,_lms_rollbacks,1
18.0.0,197,_log_parallelism_max,12
18.0.0,197,_log_simultaneous_copies,394
18.0.0,197,_max_log_write_parallelism,3
18.0.0,197,_max_outstanding_log_writes,2
18.0.0,197,_max_pending_scn_bcasts,9
18.0.0,197,_messages,31600
18.0.0,197,_num_longop_child_latches,197
18.0.0,197,_num_rlslaves,32
18.0.0,197,_parallel_min_message_pool,7707623424
18.0.0,197,_pmon_max_slaves,316
18.0.0,197,_pmon_slaves_arr_size,7900
18.0.0,197,_px_proactive_slave_alloc_threshold,394
18.0.0,197,_session_allocation_latches,197
18.0.0,197,_shared_server_num_queues,4
18.0.0,197,_small_table_threshold,13823
18.0.0,197,_spin_count,2000
18.0.0,197,_sqlmon_max_plan,3940
18.0.0,197,_super_shared_conversion_threshold,15800
18.0.0,197,_use_single_log_writer,-1
18.0.0,197,cpu_count,197
18.0.0,197,db_file_multiblock_read_count,28
18.0.0,197,db_writer_processes,24
18.0.0,197,dml_locks,104880
18.0.0,197,log_buffer,316833792
18.0.0,197,parallel_max_servers,3940
18.0.0,197,parallel_min_servers,394
18.0.0,197,parallel_servers_target,1576
18.0.0,197,pga_aggregate_limit,49702502400
18.0.0,197,processes,15800
18.0.0,197,sessions,23837
18.0.0,197,sga_max_size,7516192768
18.0.0,197,shared_pool_reserved_size,57881395
18.0.0,197,transactions,26220
18.0.0,198,__db_cache_size,3607101440
18.0.0,198,__large_pool_size,83886080
18.0.0,198,__shared_pool_size,3472883712
18.0.0,198,_cursor_db_buffers_pinned,41
18.0.0,198,_db_block_buffers,691174
18.0.0,198,_db_block_lru_latches,1782
18.0.0,198,_db_file_exec_read_count,28
18.0.0,198,_db_handles,158800
18.0.0,198,_enqueue_hash,47951
18.0.0,198,_enqueue_hash_chain_latches,198
18.0.0,198,_enqueue_locks,279480
18.0.0,198,_enqueue_resources,105632
18.0.0,198,_flashback_generation_buffer_size,830472192
18.0.0,198,_gcs_min_cr_slaves,1
18.0.0,198,_hang_resolution_scope,-2
18.0.0,198,_ksmsq_hintmaxproc,15880
18.0.0,198,_lms_rollbacks,1
18.0.0,198,_log_parallelism_max,12
18.0.0,198,_log_simultaneous_copies,396
18.0.0,198,_max_log_write_parallelism,3
18.0.0,198,_max_outstanding_log_writes,2
18.0.0,198,_max_pending_scn_bcasts,9
18.0.0,198,_messages,31760
18.0.0,198,_num_longop_child_latches,198
18.0.0,198,_num_rlslaves,32
18.0.0,198,_parallel_min_message_pool,7785676800
18.0.0,198,_pmon_max_slaves,316
18.0.0,198,_pmon_slaves_arr_size,7940
18.0.0,198,_px_proactive_slave_alloc_threshold,396
18.0.0,198,_session_allocation_latches,198
18.0.0,198,_shared_server_num_queues,4
18.0.0,198,_small_table_threshold,13823
18.0.0,198,_spin_count,2000
18.0.0,198,_sqlmon_max_plan,3960
18.0.0,198,_super_shared_conversion_threshold,15880
18.0.0,198,_use_single_log_writer,-1
18.0.0,198,cpu_count,198
18.0.0,198,db_file_multiblock_read_count,28
18.0.0,198,db_writer_processes,24
18.0.0,198,dml_locks,105412
18.0.0,198,log_buffer,316833792
18.0.0,198,parallel_max_servers,3960
18.0.0,198,parallel_min_servers,396
18.0.0,198,parallel_servers_target,1584
18.0.0,198,pga_aggregate_limit,49954160640
18.0.0,198,processes,15880
18.0.0,198,sessions,23958
18.0.0,198,sga_max_size,7516192768
18.0.0,198,shared_pool_reserved_size,57881395
18.0.0,198,transactions,26353
18.0.0,199,__db_cache_size,3590324224
18.0.0,199,__large_pool_size,83886080
18.0.0,199,__shared_pool_size,3489660928
18.0.0,199,_cursor_db_buffers_pinned,41
18.0.0,199,_db_block_buffers,691174
18.0.0,199,_db_block_lru_latches,1791
18.0.0,199,_db_file_exec_read_count,28
18.0.0,199,_db_handles,159600
18.0.0,199,_enqueue_hash,48193
18.0.0,199,_enqueue_hash_chain_latches,199
18.0.0,199,_enqueue_locks,280890
18.0.0,199,_enqueue_resources,106164
18.0.0,199,_flashback_generation_buffer_size,834666496
18.0.0,199,_gcs_min_cr_slaves,1
18.0.0,199,_hang_resolution_scope,-2
18.0.0,199,_ksmsq_hintmaxproc,15960
18.0.0,199,_lms_rollbacks,1
18.0.0,199,_log_parallelism_max,12
18.0.0,199,_log_simultaneous_copies,398
18.0.0,199,_max_log_write_parallelism,3
18.0.0,199,_max_outstanding_log_writes,2
18.0.0,199,_max_pending_scn_bcasts,9
18.0.0,199,_messages,31920
18.0.0,199,_num_longop_child_latches,199
18.0.0,199,_num_rlslaves,32
18.0.0,199,_parallel_min_message_pool,7864123392
18.0.0,199,_pmon_max_slaves,318
18.0.0,199,_pmon_slaves_arr_size,7980
18.0.0,199,_px_proactive_slave_alloc_threshold,398
18.0.0,199,_session_allocation_latches,199
18.0.0,199,_shared_server_num_queues,4
18.0.0,199,_small_table_threshold,13823
18.0.0,199,_spin_count,2000
18.0.0,199,_sqlmon_max_plan,3980
18.0.0,199,_super_shared_conversion_threshold,15960
18.0.0,199,_use_single_log_writer,-1
18.0.0,199,cpu_count,199
18.0.0,199,db_file_multiblock_read_count,28
18.0.0,199,db_writer_processes,24
18.0.0,199,dml_locks,105944
18.0.0,199,log_buffer,316833792
18.0.0,199,parallel_max_servers,3980
18.0.0,199,parallel_min_servers,398
18.0.0,199,parallel_servers_target,1592
18.0.0,199,pga_aggregate_limit,50205818880
18.0.0,199,processes,15960
18.0.0,199,sessions,24079
18.0.0,199,sga_max_size,7516192768
18.0.0,199,shared_pool_reserved_size,57881395
18.0.0,199,transactions,26486
18.0.0,200,__db_cache_size,3556769792
18.0.0,200,__large_pool_size,83886080
18.0.0,200,__shared_pool_size,3523215360
18.0.0,200,_cursor_db_buffers_pinned,41
18.0.0,200,_db_block_buffers,691174
18.0.0,200,_db_block_lru_latches,1800
18.0.0,200,_db_file_exec_read_count,28
18.0.0,200,_db_handles,160400
18.0.0,200,_enqueue_hash,48435
18.0.0,200,_enqueue_hash_chain_latches,200
18.0.0,200,_enqueue_locks,282300
18.0.0,200,_enqueue_resources,106700
18.0.0,200,_flashback_generation_buffer_size,838860800
18.0.0,200,_gcs_min_cr_slaves,1
18.0.0,200,_hang_resolution_scope,0
18.0.0,200,_ksmsq_hintmaxproc,16040
18.0.0,200,_lms_rollbacks,1
18.0.0,200,_log_parallelism_max,12
18.0.0,200,_log_simultaneous_copies,400
18.0.0,200,_max_log_write_parallelism,3
18.0.0,200,_max_outstanding_log_writes,2
18.0.0,200,_max_pending_scn_bcasts,9
18.0.0,200,_messages,32080
18.0.0,200,_num_longop_child_latches,200
18.0.0,200,_num_rlslaves,32
18.0.0,200,_parallel_min_message_pool,7942963200
18.0.0,200,_pmon_max_slaves,320
18.0.0,200,_pmon_slaves_arr_size,8020
18.0.0,200,_px_proactive_slave_alloc_threshold,400
18.0.0,200,_session_allocation_latches,200
18.0.0,200,_shared_server_num_queues,4
18.0.0,200,_small_table_threshold,13823
18.0.0,200,_spin_count,2000
18.0.0,200,_sqlmon_max_plan,4000
18.0.0,200,_super_shared_conversion_threshold,16040
18.0.0,200,_use_single_log_writer,-1
18.0.0,200,cpu_count,200
18.0.0,200,db_file_multiblock_read_count,28
18.0.0,200,db_writer_processes,25
18.0.0,200,dml_locks,106480
18.0.0,200,log_buffer,316833792
18.0.0,200,parallel_max_servers,4000
18.0.0,200,parallel_min_servers,400
18.0.0,200,parallel_servers_target,1600
18.0.0,200,pga_aggregate_limit,50457477120
18.0.0,200,processes,16040
18.0.0,200,sessions,24200
18.0.0,200,sga_max_size,7516192768
18.0.0,200,shared_pool_reserved_size,57881395
18.0.0,200,transactions,26620
18.0.0,201,__db_cache_size,3539992576
18.0.0,201,__large_pool_size,83886080
18.0.0,201,__shared_pool_size,3539992576
18.0.0,201,_cursor_db_buffers_pinned,40
18.0.0,201,_db_block_buffers,691174
18.0.0,201,_db_block_lru_latches,1809
18.0.0,201,_db_file_exec_read_count,28
18.0.0,201,_db_handles,161200
18.0.0,201,_enqueue_hash,48677
18.0.0,201,_enqueue_hash_chain_latches,201
18.0.0,201,_enqueue_locks,283710
18.0.0,201,_enqueue_resources,107232
18.0.0,201,_flashback_generation_buffer_size,843055104
18.0.0,201,_gcs_min_cr_slaves,1
18.0.0,201,_hang_resolution_scope,0
18.0.0,201,_ksmsq_hintmaxproc,16120
18.0.0,201,_lms_rollbacks,1
18.0.0,201,_log_parallelism_max,12
18.0.0,201,_log_simultaneous_copies,402
18.0.0,201,_max_log_write_parallelism,3
18.0.0,201,_max_outstanding_log_writes,2
18.0.0,201,_max_pending_scn_bcasts,9
18.0.0,201,_messages,32240
18.0.0,201,_num_longop_child_latches,201
18.0.0,201,_num_rlslaves,32
18.0.0,201,_parallel_min_message_pool,8022196224
18.0.0,201,_pmon_max_slaves,322
18.0.0,201,_pmon_slaves_arr_size,8060
18.0.0,201,_px_proactive_slave_alloc_threshold,402
18.0.0,201,_session_allocation_latches,201
18.0.0,201,_shared_server_num_queues,4
18.0.0,201,_small_table_threshold,13823
18.0.0,201,_spin_count,2000
18.0.0,201,_sqlmon_max_plan,4020
18.0.0,201,_super_shared_conversion_threshold,16120
18.0.0,201,_use_single_log_writer,-1
18.0.0,201,cpu_count,201
18.0.0,201,db_file_multiblock_read_count,28
18.0.0,201,db_writer_processes,25
18.0.0,201,dml_locks,107012
18.0.0,201,log_buffer,316833792
18.0.0,201,parallel_max_servers,4020
18.0.0,201,parallel_min_servers,402
18.0.0,201,parallel_servers_target,1608
18.0.0,201,pga_aggregate_limit,50709135360
18.0.0,201,processes,16120
18.0.0,201,sessions,24321
18.0.0,201,sga_max_size,7516192768
18.0.0,201,shared_pool_reserved_size,57881395
18.0.0,201,transactions,26753
18.0.0,202,__db_cache_size,3523215360
18.0.0,202,__large_pool_size,83886080
18.0.0,202,__shared_pool_size,3539992576
18.0.0,202,_cursor_db_buffers_pinned,40
18.0.0,202,_db_block_buffers,689216
18.0.0,202,_db_block_lru_latches,1818
18.0.0,202,_db_file_exec_read_count,28
18.0.0,202,_db_handles,162000
18.0.0,202,_enqueue_hash,48919
18.0.0,202,_enqueue_hash_chain_latches,202
18.0.0,202,_enqueue_locks,285120
18.0.0,202,_enqueue_resources,107764
18.0.0,202,_flashback_generation_buffer_size,847249408
18.0.0,202,_gcs_min_cr_slaves,1
18.0.0,202,_hang_resolution_scope,-2
18.0.0,202,_ksmsq_hintmaxproc,16200
18.0.0,202,_lms_rollbacks,1
18.0.0,202,_log_parallelism_max,12
18.0.0,202,_log_simultaneous_copies,404
18.0.0,202,_max_log_write_parallelism,3
18.0.0,202,_max_outstanding_log_writes,2
18.0.0,202,_max_pending_scn_bcasts,9
18.0.0,202,_messages,32400
18.0.0,202,_num_longop_child_latches,202
18.0.0,202,_num_rlslaves,32
18.0.0,202,_parallel_min_message_pool,8101822464
18.0.0,202,_pmon_max_slaves,324
18.0.0,202,_pmon_slaves_arr_size,8100
18.0.0,202,_px_proactive_slave_alloc_threshold,404
18.0.0,202,_session_allocation_latches,202
18.0.0,202,_shared_server_num_queues,4
18.0.0,202,_small_table_threshold,13784
18.0.0,202,_spin_count,2000
18.0.0,202,_sqlmon_max_plan,4040
18.0.0,202,_super_shared_conversion_threshold,16200
18.0.0,202,_use_single_log_writer,-1
18.0.0,202,cpu_count,202
18.0.0,202,db_file_multiblock_read_count,28
18.0.0,202,db_writer_processes,25
18.0.0,202,dml_locks,107544
18.0.0,202,log_buffer,333103104
18.0.0,202,parallel_max_servers,4040
18.0.0,202,parallel_min_servers,404
18.0.0,202,parallel_servers_target,1616
18.0.0,202,pga_aggregate_limit,50960793600
18.0.0,202,processes,16200
18.0.0,202,sessions,24442
18.0.0,202,sga_max_size,7516192768
18.0.0,202,shared_pool_reserved_size,57881395
18.0.0,202,transactions,26886
18.0.0,203,__db_cache_size,3506438144
18.0.0,203,__large_pool_size,83886080
18.0.0,203,__shared_pool_size,3556769792
18.0.0,203,_cursor_db_buffers_pinned,40
18.0.0,203,_db_block_buffers,689216
18.0.0,203,_db_block_lru_latches,1827
18.0.0,203,_db_file_exec_read_count,28
18.0.0,203,_db_handles,162800
18.0.0,203,_enqueue_hash,49161
18.0.0,203,_enqueue_hash_chain_latches,203
18.0.0,203,_enqueue_locks,286530
18.0.0,203,_enqueue_resources,108296
18.0.0,203,_flashback_generation_buffer_size,851443712
18.0.0,203,_gcs_min_cr_slaves,1
18.0.0,203,_hang_resolution_scope,-2
18.0.0,203,_ksmsq_hintmaxproc,16280
18.0.0,203,_lms_rollbacks,1
18.0.0,203,_log_parallelism_max,12
18.0.0,203,_log_simultaneous_copies,406
18.0.0,203,_max_log_write_parallelism,3
18.0.0,203,_max_outstanding_log_writes,2
18.0.0,203,_max_pending_scn_bcasts,9
18.0.0,203,_messages,32560
18.0.0,203,_num_longop_child_latches,203
18.0.0,203,_num_rlslaves,32
18.0.0,203,_parallel_min_message_pool,8181841920
18.0.0,203,_pmon_max_slaves,324
18.0.0,203,_pmon_slaves_arr_size,8140
18.0.0,203,_px_proactive_slave_alloc_threshold,406
18.0.0,203,_session_allocation_latches,203
18.0.0,203,_shared_server_num_queues,4
18.0.0,203,_small_table_threshold,13784
18.0.0,203,_spin_count,2000
18.0.0,203,_sqlmon_max_plan,4060
18.0.0,203,_super_shared_conversion_threshold,16280
18.0.0,203,_use_single_log_writer,-1
18.0.0,203,cpu_count,203
18.0.0,203,db_file_multiblock_read_count,28
18.0.0,203,db_writer_processes,25
18.0.0,203,dml_locks,108076
18.0.0,203,log_buffer,333103104
18.0.0,203,parallel_max_servers,4060
18.0.0,203,parallel_min_servers,406
18.0.0,203,parallel_servers_target,1624
18.0.0,203,pga_aggregate_limit,51212451840
18.0.0,203,processes,16280
18.0.0,203,sessions,24563
18.0.0,203,sga_max_size,7516192768
18.0.0,203,shared_pool_reserved_size,57881395
18.0.0,203,transactions,27019
18.0.0,204,__db_cache_size,3489660928
18.0.0,204,__large_pool_size,83886080
18.0.0,204,__shared_pool_size,3573547008
18.0.0,204,_cursor_db_buffers_pinned,40
18.0.0,204,_db_block_buffers,689216
18.0.0,204,_db_block_lru_latches,1836
18.0.0,204,_db_file_exec_read_count,27
18.0.0,204,_db_handles,163600
18.0.0,204,_enqueue_hash,49403
18.0.0,204,_enqueue_hash_chain_latches,204
18.0.0,204,_enqueue_locks,287940
18.0.0,204,_enqueue_resources,108828
18.0.0,204,_flashback_generation_buffer_size,855638016
18.0.0,204,_gcs_min_cr_slaves,1
18.0.0,204,_hang_resolution_scope,0
18.0.0,204,_ksmsq_hintmaxproc,16360
18.0.0,204,_lms_rollbacks,1
18.0.0,204,_log_parallelism_max,12
18.0.0,204,_log_simultaneous_copies,408
18.0.0,204,_max_log_write_parallelism,3
18.0.0,204,_max_outstanding_log_writes,2
18.0.0,204,_max_pending_scn_bcasts,9
18.0.0,204,_messages,32720
18.0.0,204,_num_longop_child_latches,204
18.0.0,204,_num_rlslaves,32
18.0.0,204,_parallel_min_message_pool,8262254592
18.0.0,204,_pmon_max_slaves,326
18.0.0,204,_pmon_slaves_arr_size,8180
18.0.0,204,_px_proactive_slave_alloc_threshold,408
18.0.0,204,_session_allocation_latches,204
18.0.0,204,_shared_server_num_queues,4
18.0.0,204,_small_table_threshold,13784
18.0.0,204,_spin_count,2000
18.0.0,204,_sqlmon_max_plan,4080
18.0.0,204,_super_shared_conversion_threshold,16360
18.0.0,204,_use_single_log_writer,-1
18.0.0,204,cpu_count,204
18.0.0,204,db_file_multiblock_read_count,27
18.0.0,204,db_writer_processes,25
18.0.0,204,dml_locks,108608
18.0.0,204,log_buffer,333103104
18.0.0,204,parallel_max_servers,4080
18.0.0,204,parallel_min_servers,408
18.0.0,204,parallel_servers_target,1632
18.0.0,204,pga_aggregate_limit,51464110080
18.0.0,204,processes,16360
18.0.0,204,sessions,24684
18.0.0,204,sga_max_size,7516192768
18.0.0,204,shared_pool_reserved_size,57881395
18.0.0,204,transactions,27152
18.0.0,205,__db_cache_size,3472883712
18.0.0,205,__large_pool_size,83886080
18.0.0,205,__shared_pool_size,3590324224
18.0.0,205,_cursor_db_buffers_pinned,39
18.0.0,205,_db_block_buffers,689216
18.0.0,205,_db_block_lru_latches,1845
18.0.0,205,_db_file_exec_read_count,27
18.0.0,205,_db_handles,164400
18.0.0,205,_enqueue_hash,49645
18.0.0,205,_enqueue_hash_chain_latches,205
18.0.0,205,_enqueue_locks,289350
18.0.0,205,_enqueue_resources,109360
18.0.0,205,_flashback_generation_buffer_size,859832320
18.0.0,205,_gcs_min_cr_slaves,1
18.0.0,205,_hang_resolution_scope,-2
18.0.0,205,_ksmsq_hintmaxproc,16440
18.0.0,205,_lms_rollbacks,1
18.0.0,205,_log_parallelism_max,12
18.0.0,205,_log_simultaneous_copies,410
18.0.0,205,_max_log_write_parallelism,3
18.0.0,205,_max_outstanding_log_writes,2
18.0.0,205,_max_pending_scn_bcasts,9
18.0.0,205,_messages,32880
18.0.0,205,_num_longop_child_latches,205
18.0.0,205,_num_rlslaves,32
18.0.0,205,_parallel_min_message_pool,8343060480
18.0.0,205,_pmon_max_slaves,328
18.0.0,205,_pmon_slaves_arr_size,8220
18.0.0,205,_px_proactive_slave_alloc_threshold,410
18.0.0,205,_session_allocation_latches,205
18.0.0,205,_shared_server_num_queues,4
18.0.0,205,_small_table_threshold,13784
18.0.0,205,_spin_count,2000
18.0.0,205,_sqlmon_max_plan,4100
18.0.0,205,_super_shared_conversion_threshold,16440
18.0.0,205,_use_single_log_writer,-1
18.0.0,205,cpu_count,205
18.0.0,205,db_file_multiblock_read_count,27
18.0.0,205,db_writer_processes,25
18.0.0,205,dml_locks,109140
18.0.0,205,log_buffer,333103104
18.0.0,205,parallel_max_servers,4100
18.0.0,205,parallel_min_servers,410
18.0.0,205,parallel_servers_target,1640
18.0.0,205,pga_aggregate_limit,51715768320
18.0.0,205,processes,16440
18.0.0,205,sessions,24805
18.0.0,205,sga_max_size,7516192768
18.0.0,205,shared_pool_reserved_size,57881395
18.0.0,205,transactions,27285
18.0.0,206,__db_cache_size,3456106496
18.0.0,206,__large_pool_size,83886080
18.0.0,206,__shared_pool_size,3607101440
18.0.0,206,_cursor_db_buffers_pinned,39
18.0.0,206,_db_block_buffers,689216
18.0.0,206,_db_block_lru_latches,1854
18.0.0,206,_db_file_exec_read_count,27
18.0.0,206,_db_handles,165200
18.0.0,206,_enqueue_hash,49887
18.0.0,206,_enqueue_hash_chain_latches,206
18.0.0,206,_enqueue_locks,290760
18.0.0,206,_enqueue_resources,109892
18.0.0,206,_flashback_generation_buffer_size,864026624
18.0.0,206,_gcs_min_cr_slaves,1
18.0.0,206,_hang_resolution_scope,-2
18.0.0,206,_ksmsq_hintmaxproc,16520
18.0.0,206,_lms_rollbacks,1
18.0.0,206,_log_parallelism_max,12
18.0.0,206,_log_simultaneous_copies,412
18.0.0,206,_max_log_write_parallelism,3
18.0.0,206,_max_outstanding_log_writes,2
18.0.0,206,_max_pending_scn_bcasts,9
18.0.0,206,_messages,33040
18.0.0,206,_num_longop_child_latches,206
18.0.0,206,_num_rlslaves,32
18.0.0,206,_parallel_min_message_pool,8424259584
18.0.0,206,_pmon_max_slaves,330
18.0.0,206,_pmon_slaves_arr_size,8260
18.0.0,206,_px_proactive_slave_alloc_threshold,412
18.0.0,206,_session_allocation_latches,206
18.0.0,206,_shared_server_num_queues,4
18.0.0,206,_small_table_threshold,13784
18.0.0,206,_spin_count,2000
18.0.0,206,_sqlmon_max_plan,4120
18.0.0,206,_super_shared_conversion_threshold,16520
18.0.0,206,_use_single_log_writer,-1
18.0.0,206,cpu_count,206
18.0.0,206,db_file_multiblock_read_count,27
18.0.0,206,db_writer_processes,25
18.0.0,206,dml_locks,109672
18.0.0,206,log_buffer,333103104
18.0.0,206,parallel_max_servers,4120
18.0.0,206,parallel_min_servers,412
18.0.0,206,parallel_servers_target,1648
18.0.0,206,pga_aggregate_limit,51967426560
18.0.0,206,processes,16520
18.0.0,206,sessions,24926
18.0.0,206,sga_max_size,7516192768
18.0.0,206,shared_pool_reserved_size,57881395
18.0.0,206,transactions,27418
18.0.0,207,__db_cache_size,3439329280
18.0.0,207,__large_pool_size,83886080
18.0.0,207,__shared_pool_size,3623878656
18.0.0,207,_cursor_db_buffers_pinned,39
18.0.0,207,_db_block_buffers,689216
18.0.0,207,_db_block_lru_latches,1863
18.0.0,207,_db_file_exec_read_count,27
18.0.0,207,_db_handles,166000
18.0.0,207,_enqueue_hash,50129
18.0.0,207,_enqueue_hash_chain_latches,207
18.0.0,207,_enqueue_locks,292170
18.0.0,207,_enqueue_resources,110424
18.0.0,207,_flashback_generation_buffer_size,868220928
18.0.0,207,_gcs_min_cr_slaves,1
18.0.0,207,_hang_resolution_scope,-2
18.0.0,207,_ksmsq_hintmaxproc,16600
18.0.0,207,_lms_rollbacks,1
18.0.0,207,_log_parallelism_max,12
18.0.0,207,_log_simultaneous_copies,414
18.0.0,207,_max_log_write_parallelism,3
18.0.0,207,_max_outstanding_log_writes,2
18.0.0,207,_max_pending_scn_bcasts,9
18.0.0,207,_messages,33200
18.0.0,207,_num_longop_child_latches,207
18.0.0,207,_num_rlslaves,32
18.0.0,207,_parallel_min_message_pool,8505851904
18.0.0,207,_pmon_max_slaves,332
18.0.0,207,_pmon_slaves_arr_size,8300
18.0.0,207,_px_proactive_slave_alloc_threshold,414
18.0.0,207,_session_allocation_latches,207
18.0.0,207,_shared_server_num_queues,4
18.0.0,207,_small_table_threshold,13784
18.0.0,207,_spin_count,2000
18.0.0,207,_sqlmon_max_plan,4140
18.0.0,207,_super_shared_conversion_threshold,16600
18.0.0,207,_use_single_log_writer,-1
18.0.0,207,cpu_count,207
18.0.0,207,db_file_multiblock_read_count,27
18.0.0,207,db_writer_processes,25
18.0.0,207,dml_locks,110204
18.0.0,207,log_buffer,333103104
18.0.0,207,parallel_max_servers,4140
18.0.0,207,parallel_min_servers,414
18.0.0,207,parallel_servers_target,1656
18.0.0,207,pga_aggregate_limit,52219084800
18.0.0,207,processes,16600
18.0.0,207,sessions,25047
18.0.0,207,sga_max_size,7516192768
18.0.0,207,shared_pool_reserved_size,57881395
18.0.0,207,transactions,27551
18.0.0,208,__db_cache_size,3388997632
18.0.0,208,__large_pool_size,83886080
18.0.0,208,__shared_pool_size,3640655872
18.0.0,208,_cursor_db_buffers_pinned,39
18.0.0,208,_db_block_buffers,685300
18.0.0,208,_db_block_lru_latches,1872
18.0.0,208,_db_file_exec_read_count,27
18.0.0,208,_db_handles,166800
18.0.0,208,_enqueue_hash,50371
18.0.0,208,_enqueue_hash_chain_latches,208
18.0.0,208,_enqueue_locks,293580
18.0.0,208,_enqueue_resources,110956
18.0.0,208,_flashback_generation_buffer_size,872415232
18.0.0,208,_gcs_min_cr_slaves,1
18.0.0,208,_hang_resolution_scope,-2
18.0.0,208,_ksmsq_hintmaxproc,16680
18.0.0,208,_lms_rollbacks,1
18.0.0,208,_log_parallelism_max,13
18.0.0,208,_log_simultaneous_copies,416
18.0.0,208,_max_log_write_parallelism,4
18.0.0,208,_max_outstanding_log_writes,2
18.0.0,208,_max_pending_scn_bcasts,9
18.0.0,208,_messages,33360
18.0.0,208,_num_longop_child_latches,208
18.0.0,208,_num_rlslaves,32
18.0.0,208,_parallel_min_message_pool,8587837440
18.0.0,208,_pmon_max_slaves,332
18.0.0,208,_pmon_slaves_arr_size,8340
18.0.0,208,_px_proactive_slave_alloc_threshold,416
18.0.0,208,_session_allocation_latches,208
18.0.0,208,_shared_server_num_queues,4
18.0.0,208,_small_table_threshold,13706
18.0.0,208,_spin_count,2000
18.0.0,208,_sqlmon_max_plan,4160
18.0.0,208,_super_shared_conversion_threshold,16680
18.0.0,208,_use_single_log_writer,-1
18.0.0,208,cpu_count,208
18.0.0,208,db_file_multiblock_read_count,27
18.0.0,208,db_writer_processes,26
18.0.0,208,dml_locks,110736
18.0.0,208,log_buffer,365654016
18.0.0,208,parallel_max_servers,4160
18.0.0,208,parallel_min_servers,416
18.0.0,208,parallel_servers_target,1664
18.0.0,208,pga_aggregate_limit,52470743040
18.0.0,208,processes,16680
18.0.0,208,sessions,25168
18.0.0,208,sga_max_size,7516192768
18.0.0,208,shared_pool_reserved_size,57881395
18.0.0,208,transactions,27684
18.0.0,209,__db_cache_size,3372220416
18.0.0,209,__large_pool_size,83886080
18.0.0,209,__shared_pool_size,3657433088
18.0.0,209,_cursor_db_buffers_pinned,38
18.0.0,209,_db_block_buffers,685300
18.0.0,209,_db_block_lru_latches,1881
18.0.0,209,_db_file_exec_read_count,27
18.0.0,209,_db_handles,167600
18.0.0,209,_enqueue_hash,50613
18.0.0,209,_enqueue_hash_chain_latches,209
18.0.0,209,_enqueue_locks,294990
18.0.0,209,_enqueue_resources,111488
18.0.0,209,_flashback_generation_buffer_size,876609536
18.0.0,209,_gcs_min_cr_slaves,1
18.0.0,209,_hang_resolution_scope,-2
18.0.0,209,_ksmsq_hintmaxproc,16760
18.0.0,209,_lms_rollbacks,1
18.0.0,209,_log_parallelism_max,13
18.0.0,209,_log_simultaneous_copies,418
18.0.0,209,_max_log_write_parallelism,4
18.0.0,209,_max_outstanding_log_writes,2
18.0.0,209,_max_pending_scn_bcasts,9
18.0.0,209,_messages,33520
18.0.0,209,_num_longop_child_latches,209
18.0.0,209,_num_rlslaves,32
18.0.0,209,_parallel_min_message_pool,8670216192
18.0.0,209,_pmon_max_slaves,334
18.0.0,209,_pmon_slaves_arr_size,8380
18.0.0,209,_px_proactive_slave_alloc_threshold,418
18.0.0,209,_session_allocation_latches,209
18.0.0,209,_shared_server_num_queues,4
18.0.0,209,_small_table_threshold,13706
18.0.0,209,_spin_count,2000
18.0.0,209,_sqlmon_max_plan,4180
18.0.0,209,_super_shared_conversion_threshold,16760
18.0.0,209,_use_single_log_writer,-1
18.0.0,209,cpu_count,209
18.0.0,209,db_file_multiblock_read_count,27
18.0.0,209,db_writer_processes,26
18.0.0,209,dml_locks,111268
18.0.0,209,log_buffer,365654016
18.0.0,209,parallel_max_servers,4180
18.0.0,209,parallel_min_servers,418
18.0.0,209,parallel_servers_target,1672
18.0.0,209,pga_aggregate_limit,52722401280
18.0.0,209,processes,16760
18.0.0,209,sessions,25289
18.0.0,209,sga_max_size,7516192768
18.0.0,209,shared_pool_reserved_size,57881395
18.0.0,209,transactions,27817
18.0.0,210,__db_cache_size,3355443200
18.0.0,210,__large_pool_size,83886080
18.0.0,210,__shared_pool_size,3674210304
18.0.0,210,_cursor_db_buffers_pinned,38
18.0.0,210,_db_block_buffers,685300
18.0.0,210,_db_block_lru_latches,1890
18.0.0,210,_db_file_exec_read_count,26
18.0.0,210,_db_handles,168400
18.0.0,210,_enqueue_hash,50855
18.0.0,210,_enqueue_hash_chain_latches,210
18.0.0,210,_enqueue_locks,296400
18.0.0,210,_enqueue_resources,112024
18.0.0,210,_flashback_generation_buffer_size,880803840
18.0.0,210,_gcs_min_cr_slaves,1
18.0.0,210,_hang_resolution_scope,-2
18.0.0,210,_ksmsq_hintmaxproc,16840
18.0.0,210,_lms_rollbacks,1
18.0.0,210,_log_parallelism_max,13
18.0.0,210,_log_simultaneous_copies,420
18.0.0,210,_max_log_write_parallelism,4
18.0.0,210,_max_outstanding_log_writes,2
18.0.0,210,_max_pending_scn_bcasts,9
18.0.0,210,_messages,33680
18.0.0,210,_num_longop_child_latches,210
18.0.0,210,_num_rlslaves,32
18.0.0,210,_parallel_min_message_pool,8752988160
18.0.0,210,_pmon_max_slaves,336
18.0.0,210,_pmon_slaves_arr_size,8420
18.0.0,210,_px_proactive_slave_alloc_threshold,420
